Ruta,Recorrido,Distancia,Empresa
Hatillo - Alajuelita,Ruta San Jose - Paso Ancho - Loma Linda,8,207142,empresa CONATRA SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17,460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Paso Ancho - Santa Rosa,7,877076,AUTOTTES. ZAPOTE SA
Central,Ruta San Jose - Sabana - Cementerio,6,781973,NULL
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10,327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10,269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10,269761,empresa TRANSCESA SA
